                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.9418,                0.48925,                 1.1916,                0.98328,                 0.9341,                 0.9843,                0.76208,                0.97501,                0.42253,                 1.1826,               0.008317,               0.008317,               0.008317
                     36,                0.94635,                0.48241,                 1.1962,                0.98789,                0.93266,                0.98284,                 0.7681,                0.98412,                0.42053,                 1.1819,              0.0082675,              0.0082675,              0.0082675
                     37,                0.94567,                0.47746,                 1.1881,                0.96904,                0.95129,                0.98042,                0.75446,                0.96267,                0.41457,                 1.1794,               0.008218,               0.008218,               0.008218
                     38,                 0.9322,                0.47413,                 1.1815,                0.96266,                0.95769,                 0.9829,                0.76434,                0.97616,                0.41192,                 1.1625,              0.0081685,              0.0081685,              0.0081685
                     39,                0.91823,                0.46737,                  1.174,                0.95286,                0.95964,                0.98092,                0.76918,                0.97077,                0.40565,                 1.1668,               0.008119,               0.008119,               0.008119
                     40,                0.91451,                 0.4694,                 1.1649,                0.96338,                0.95709,                0.97828,                 0.7574,                0.98504,                 0.4182,                 1.1758,              0.0080695,              0.0080695,              0.0080695
                     41,                0.92773,                0.46853,                 1.1884,                0.96882,                0.95952,                0.98189,                0.76601,                0.97528,                0.40889,                  1.185,                0.00802,                0.00802,                0.00802
                     42,                0.92193,                0.46247,                 1.1654,                0.97999,                0.95016,                0.98385,                0.77306,                0.98099,                0.40569,                 1.1702,              0.0079705,              0.0079705,              0.0079705
                     43,                0.91422,                 0.4589,                 1.1654,                0.96152,                0.96135,                0.98365,                0.77215,                0.98098,                0.40052,                 1.1628,               0.007921,               0.007921,               0.007921
                     44,                0.91971,                0.45359,                 1.1635,                0.96935,                0.95475,                0.97986,                0.77864,                 0.9552,                0.40266,                 1.1538,              0.0078715,              0.0078715,              0.0078715
                     45,                0.90967,                0.45439,                 1.1672,                0.97829,                0.94434,                0.97991,                0.77145,                0.95967,                0.40766,                 1.1638,               0.007822,               0.007822,               0.007822
                     46,                 0.9028,                0.45407,                  1.165,                 0.9592,                0.96327,                0.98152,                0.76852,                0.97444,                0.40897,                 1.1758,              0.0077725,              0.0077725,              0.0077725
                     47,                0.90073,                 0.4479,                 1.1686,                 0.9755,                0.95242,                 0.9838,                0.78273,                0.95656,                0.39729,                 1.1675,               0.007723,               0.007723,               0.007723
                     48,                0.90894,                0.45296,                  1.163,                0.96725,                 0.9553,                0.98318,                0.76788,                0.96743,                0.39871,                 1.1769,              0.0076735,              0.0076735,              0.0076735
                     49,                0.90001,                0.45117,                  1.163,                0.96013,                0.96085,                0.98389,                0.76956,                0.95947,                0.40155,                 1.1814,               0.007624,               0.007624,               0.007624
                     50,                0.89124,                0.44372,                 1.1657,                 0.9652,                 0.9565,                0.98132,                0.76777,                 0.9781,                0.39495,                 1.1922,              0.0075745,              0.0075745,              0.0075745
                     51,                0.89069,                0.44477,                 1.1569,                0.94763,                0.95845,                0.97619,                0.76291,                0.97416,                0.40173,                  1.165,               0.007525,               0.007525,               0.007525
                     52,                0.88046,                0.43804,                 1.1472,                0.96393,                0.95599,                0.98614,                 0.7769,                0.96519,                0.39893,                 1.1873,              0.0074755,              0.0074755,              0.0074755
                     53,                0.87865,                0.43535,                 1.1531,                0.95878,                0.96705,                0.98262,                 0.7745,                0.95912,                0.39405,                 1.1877,               0.007426,               0.007426,               0.007426
                     54,                0.88831,                0.43163,                 1.1505,                0.97557,                0.94986,                  0.983,                0.77794,                0.95996,                0.39039,                  1.185,              0.0073765,              0.0073765,              0.0073765
